"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/04/2026 16:42:36:583 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"186","6","10","175","974","44.3675509419454","0","0"
"202","6","12","200","119","52.825836216839676","0","0"
"204","6","12","200","95","48.59669357939254","0","0"
"203","6","12","200","110","46.98193002691273","0","0"
"207","6","12","225","85","43.52172241445598","0","0"
"208","6","12","250","95","40.7920030757401","0","0"
"209","6","12","250","112","46.71280276816609","0","0"
"206","6","12","225","139","51.51864667435602","0","0"
"183","6","10","150","1500","37.71626297577855","12","0"
"201","6","12","175","401","31.02652825836217","0","0"
"210","6","12","250","149","54.01768550557478","0","0"
"205","6","12","225","356","24.375240292195308","0","0"
"194","6","10","250","846","19.68473663975394","0","0"
"215","6","14","175","345","18.223760092272205","0","0"
"218","6","14","200","106","55.70934256055364","0","0"
"211","6","14","150","519","29.48865820838139","0","0"
"217","6","14","200","323","22.606689734717417","0","0"
"219","6","14","200","113","51.86466743560169","0","0"
"185","6","10","175","1500","53.55632449058054","39","0"
"221","6","14","225","93","43.32948865820838","0","0"
"222","6","14","225","132","50.788158400615146","0","0"
"224","6","14","250","92","44.40599769319493","0","0"
"223","6","14","250","180","54.20991926182238","0","0"
"225","6","14","250","106","45.520953479430986","0","0"
"216","6","14","175","666","7.458669742406767","0","0"
"227","6","16","150","111","52.902729719338716","0","0"
"220","6","14","225","456","11.956939638600538","0","0"
"226","6","16","150","343","28.450595924644368","0","0"
"232","6","16","200","111","48.40445982314495","0","0"
"196","6","12","150","1500","29.142637447135716","19","0"
"231","6","16","175","90","51.172625913110345","0","0"
"198","6","12","150","1500","29.680891964628987","28","0"
"228","6","16","150","359","20.645905420991927","0","0"
"197","6","12","150","1500","30.103806228373703","62","0"
"229","6","16","175","383","11.07266435986159","0","0"
"233","6","16","200","119","52.05690119184929","0","0"
"235","6","16","225","107","48.78892733564014","0","0"
"238","6","16","250","107","50.59592464436755","0","0"
"239","6","16","250","86","41.94540561322568","0","0"
"234","6","16","200","161","55.40176855055748","0","0"
"237","6","16","225","115","47.40484429065744","0","0"
"236","6","16","225","117","47.789311803152636","0","0"
"240","6","16","250","101","47.097270280661284","0","0"
