"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/04/2026 16:58:20:249 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"261","6","20","175","126","54.20991926182238","0","0"
"262","6","20","200","122","55.17108804306036","0","0"
"259","6","20","175","189","81.62245290272972","0","0"
"251","6","18","225","442","16.262975778546714","0","0"
"257","6","20","150","280","10.803537101114955","0","0"
"245","6","18","175","594","12.841214917339485","0","0"
"264","6","20","200","104","47.558631295655516","0","0"
"246","6","18","175","594","13.917723952326028","0","0"
"263","6","20","200","196","68.39677047289504","0","0"
"265","6","20","225","113","48.01999231064975","0","0"
"267","6","20","225","110","46.78969627066513","0","0"
"266","6","20","225","138","52.55670895809304","0","0"
"268","6","20","250","128","49.7116493656286","0","0"
"269","6","20","250","91","40.83044982698962","0","0"
"270","6","20","250","113","45.36716647443291","0","0"
"250","6","18","225","705","28.489042675893888","0","0"
"256","6","20","150","601","17.685505574778933","0","0"
"258","6","20","150","1179","17.416378316032294","0","0"
"273","8","4","150","1500","52.210688196847364","34","0"
"272","8","4","150","1500","47.90465205690119","29","0"
"275","8","4","175","1500","52.32602845059593","32","0"
"277","8","4","200","1500","59.900038446751246","23","0"
"278","8","4","200","1500","29.911572472126107","10","0"
"274","8","4","175","1500","42.86812764321415","21","0"
"276","8","4","175","1500","48.32756632064591","19","0"
"271","8","4","150","1500","71.93387158785083","24","0"
"279","8","4","200","1500","51.36485966935794","18","0"
"283","8","4","250","223","66.32064590542099","0","0"
"280","8","4","225","1500","40.06151480199923","16","0"
"287","8","6","150","413","72.4721261053441","0","0"
"294","8","6","200","96","54.13302575932334","0","0"
"284","8","4","250","714","75.12495194156094","0","0"
"292","8","6","200","490","29.41176470588235","0","0"
"290","8","6","175","797","49.134948096885815","0","0"
"282","8","4","225","1500","59.05420991926182","28","0"
"297","8","6","225","204","62.82199154171472","0","0"
"281","8","4","225","1500","36.21683967704729","17","0"
"300","8","6","250","162","64.28296808919646","0","0"
"296","8","6","225","627","71.24183006535948","0","0"
"285","8","4","250","1500","51.55709342560554","3","0"
"298","8","6","250","630","44.482891195693966","0","0"
"302","8","8","150","365","28.258362168396772","0","0"
"286","8","6","150","1500","61.05344098423683","8","0"
"304","8","8","175","88","56.055363321799305","0","0"
"288","8","6","150","1500","80.43060361399462","17","0"
"289","8","6","175","1500","40.330642060745866","8","0"
"291","8","6","175","1500","77.4317570165321","16","0"
"305","8","8","175","119","56.55517108804306","0","0"
"293","8","6","200","1372","30.44982698961938","0","0"
"306","8","8","175","148","60.01537870049981","0","0"
"311","8","8","225","141","60.66897347174164","0","0"
"308","8","8","200","171","67.55094194540561","0","0"
"312","8","8","225","116","55.6324490580546","0","0"
"314","8","8","250","96","48.44290657439446","0","0"
"315","8","8","250","99","51.018838908112265","0","0"
"313","8","8","250","167","56.209150326797385","0","0"
"299","8","6","250","1064","35.793925413302574","0","0"
"295","8","6","225","1500","45.48250672818147","39","0"
"321","8","10","175","113","56.24759707804691","0","0"
"323","8","10","200","116","47.28950403690888","0","0"
"310","8","8","225","794","34.98654363706267","0","0"
"322","8","10","200","391","15.878508266051519","0","0"
"309","8","8","200","850","71.7031910803537","0","0"
"325","8","10","225","110","47.36639753940792","0","0"
"326","8","10","225","93","46.251441753171854","0","0"
"316","8","10","150","861","50.249903883121874","0","0"
"329","8","10","250","87","44.67512495194156","0","0"
"303","8","8","150","1500","31.180315263360246","30","0"
"330","8","10","250","98","47.36639753940792","0","0"
